"p1","eff"
"http://dbpedia.org/property/ref",2
"http://dbpedia.org/property/erdősNumber",2
"http://dbpedia.org/property/author2Link",2
"http://dbpedia.org/property/typeofclimber",2
"http://dbpedia.org/ontology/honours",2
"http://dbpedia.org/property/unit",2
"http://dbpedia.org/property/header",2
"http://dbpedia.org/ontology/partner",2
"http://dbpedia.org/ontology/associatedBand",2
"http://dbpedia.org/property/beatifiedDate",2
"http://dbpedia.org/property/patronage",2
"http://dbpedia.org/ontology/father",2
"http://dbpedia.org/property/activitySector",2
"http://dbpedia.org/ontology/orcidId",2
"http://dbpedia.org/property/footerAlign",2
"http://dbpedia.org/property/appointer",2
"http://dbpedia.org/ontology/beatifiedBy",2
"http://dbpedia.org/property/peakranking",2
"http://dbpedia.org/ontology/starring",2
"http://dbpedia.org/ontology/location",2
"http://dbpedia.org/property/filename",2
"http://dbpedia.org/property/accessdate",2
"http://dbpedia.org/property/dynasty",2
"http://dbpedia.org/property/playlist",2
"http://dbpedia.org/ontology/training",2
"http://dbpedia.org/property/patrons",2
"http://dbpedia.org/property/oldid",2
"http://dbpedia.org/property/talk",2
"http://dbpedia.org/property/commonscat",2
"http://dbpedia.org/ontology/beatifiedDate",2
"http://dbpedia.org/property/sSearch",2
"http://dbpedia.org/property/ambassadorFrom",2
"http://dbpedia.org/property/speciesAuthor",2
"http://dbpedia.org/property/ft",2
"http://dbpedia.org/ontology/associatedMusicalArtist",2
"http://dbpedia.org/property/subterm",2
"http://dbpedia.org/property/indef",2
"http://dbpedia.org/ontology/motto",2
"http://dbpedia.org/ontology/mother",2
"http://dbpedia.org/ontology/soundRecording",2
"http://dbpedia.org/property/fa",2
"http://dbpedia.org/property/updated",2
"http://dbpedia.org/property/2y",2
"http://dbpedia.org/property/altname",2
"http://dbpedia.org/property/y",2
"http://dbpedia.org/property/cname",2
"http://dbpedia.org/property/restingplace",2
"http://dbpedia.org/property/fontsize",2
"http://dbpedia.org/property/sect",2
"http://dbpedia.org/property/tw",2
"http://dbpedia.org/property/reignType",2
"http://dbpedia.org/property/laterwork",2
"http://dbpedia.org/ontology/battle",2
"http://dbpedia.org/property/location",2
"http://dbpedia.org/property/mawards",2
"http://dbpedia.org/property/links",2
"http://dbpedia.org/property/philosophy",1
"http://dbpedia.org/property/supporters",1
"http://dbpedia.org/property/formation",1
"http://dbpedia.org/ontology/rector",1
"http://dbpedia.org/property/arwuWYear",1
"http://dbpedia.org/property/cwurWYear",1
"http://dbpedia.org/property/logoSize",1
"http://dbpedia.org/property/mascot",1
"http://dbpedia.org/ontology/campus",1
"http://dbpedia.org/property/pronunciation",1
"http://dbpedia.org/property/fideid",1
"http://dbpedia.org/property/narrator",1
"http://dbpedia.org/property/rating",1
"http://dbpedia.org/property/wptTitles",1
"http://dbpedia.org/property/wsopMainEventBestFinishRank",1
"http://dbpedia.org/property/wsopMoneyFinishes",1
"http://dbpedia.org/property/border",1
"http://dbpedia.org/property/suz",1
"http://dbpedia.org/property/2p",1
"http://dbpedia.org/property/urlStatus",1
"http://dbpedia.org/property/poll",1
"http://dbpedia.org/property/archiveDate",1
"http://dbpedia.org/property/overall",1
"http://dbpedia.org/property/subWins",1
"http://dbpedia.org/property/labelstyle",1
"http://dbpedia.org/property/competencies",1
"http://dbpedia.org/property/theWYear",1
"http://dbpedia.org/property/usnwrW",1
"http://dbpedia.org/property/usnwrWYear",1
"http://dbpedia.org/property/cinematography",1
"http://dbpedia.org/property/anno",1
"http://dbpedia.org/property/autore",1
"http://dbpedia.org/property/3a",1
"http://dbpedia.org/property/channelWebsite",1
"http://dbpedia.org/property/ordainedBy",1
"http://dbpedia.org/property/province",1
"http://dbpedia.org/property/perrow",1
"http://dbpedia.org/property/royalHouse",1
"http://dbpedia.org/property/officialNames",1
"http://xmlns.com/foaf/0.1/nick",1
"http://dbpedia.org/property/administrativeStaff",1
"http://dbpedia.org/property/cwtsWYear",1
"http://dbpedia.org/property/latinName",1
"http://dbpedia.org/property/qsW",1
"http://dbpedia.org/property/religiousAffiliation",1
"http://dbpedia.org/property/colors",1
"http://dbpedia.org/ontology/numberOfStudents",1
"http://dbpedia.org/property/as",1
"http://dbpedia.org/ontology/canonizedPlace",1
"http://dbpedia.org/ontology/musicComposer",1
"http://dbpedia.org/ontology/Work/runtime",1
"http://dbpedia.org/property/channelName",1
"http://dbpedia.org/property/wsopBraceletCount",1
"http://dbpedia.org/property/imageNeeded",1
"http://dbpedia.org/property/legend",1
"http://dbpedia.org/property/guru",1
"http://dbpedia.org/property/literaryWorks",1
"http://dbpedia.org/property/students",1
"http://dbpedia.org/ontology/endowment",1
"http://dbpedia.org/property/cwurW",1
"http://dbpedia.org/property/campus",1
"http://dbpedia.org/property/city",1
"http://dbpedia.org/property/formerName",1
"http://dbpedia.org/ontology/mascot",1
"http://dbpedia.org/property/canonizedBy",1
"http://dbpedia.org/property/elected",1
"http://dbpedia.org/ontology/cinematography",1
"http://dbpedia.org/property/3pp",1
"http://dbpedia.org/property/views",1
"http://dbpedia.org/property/wptFinalTables",1
"http://dbpedia.org/property/others",1
"http://dbpedia.org/property/refs",1
"http://dbpedia.org/property/coachTeam",1
"http://dbpedia.org/property/decLosses",1
"http://dbpedia.org/property/decWins",1
"http://dbpedia.org/ontology/officialSchoolColour",1
"http://dbpedia.org/ontology/numberOfDoctoralStudents",1
"http://dbpedia.org/property/rector",1
"http://dbpedia.org/property/archdiocese",1
"http://dbpedia.org/property/silverButton",1
"http://dbpedia.org/property/collaborators",1
"http://dbpedia.org/ontology/overallRecord",1
"http://dbpedia.org/property/above",1
"http://dbpedia.org/ontology/height",1
"http://dbpedia.org/property/succeeding",1
"http://dbpedia.org/property/relatedOccupation",1
"http://dbpedia.org/property/postNominals",1
"http://dbpedia.org/property/mottoLang",1
"http://dbpedia.org/property/canonizedPlace",1
"http://dbpedia.org/property/producer",1
"http://dbpedia.org/property/studio",1
