,0
1655,math
1656,math
1657,ing_info
1658,math
1659,autre
1660,math
1661,math
1662,math
1663,math
1664,math
1665,math
1666,math
1667,sci_nat
1668,math
1669,math
1670,math
1671,math
1672,math
1673,math
1674,autre
1675,math
1676,math
1677,math
1678,math
1679,ing_info
1680,ing_info
1681,math
1682,math
1683,math
1684,autre
1685,autre
1686,sci_nat
1687,math
1688,math
1689,math
1690,sci_nat
1691,math
1692,math
1693,sci_nat
1694,autre
1695,math
1696,autre
1697,math
1698,math
1699,math
1700,math
1701,math
1702,math
1703,math
1704,math
1705,math
1706,math
1707,ing_info
1708,autre
1709,math
1710,math
1711,math
1712,math
1713,autre
1714,autre
1715,autre
1716,math
1717,math
1718,sci_nat
1719,math
1720,autre
1721,math
1722,autre
1723,sci_nat
1724,math
1725,math
1726,sci_hum
1727,autre
1728,autre
1729,math
1730,math
1731,math
1732,autre
1733,math
1734,math
1735,sci_hum
1736,math
1737,math
1738,math
1739,math
1740,math
1741,math
1742,sci_nat
1743,sci_nat
1744,sci_nat
1745,math
1746,math
1747,autre
1748,math
1749,math
1750,math
1751,math
1752,math
1753,math
1754,autre
1755,math
1756,math
1757,math
1758,autre
1759,math
1760,math
1761,math
1762,autre
1763,math
1764,math
1765,math
1766,autre
1767,math
1768,math
1769,math
1770,math
1771,sci_nat
1772,sci_hum
1773,math
1774,math
1775,sci_nat
1776,sci_nat
1777,math
1778,math
1779,math
1780,math
1781,autre
1782,autre
1783,math
1784,math
1785,math
1786,math
1787,math
1788,math
1789,math
1790,math
1791,math
1792,math
1793,autre
1794,autre
1795,math
1796,math
1797,math
1798,math
1799,math
1800,math
1801,math
1802,math
1803,math
1804,math
1805,math
1806,math
1807,math
1808,sci_nat
1809,sci_nat
1810,autre
1811,math
1812,math
1813,math
1814,autre
1815,math
1816,sci_nat
1817,math
1818,autre
1819,autre
1820,math
1821,math
1822,math
1823,autre
1824,autre
1825,autre
1826,phylo
1827,autre
1828,math
1829,math
1830,math
1831,math
1832,sci_nat
1833,math
1834,math
1835,math
1836,math
1837,autre
1838,math
1839,math
1840,autre
1841,math
1842,math
1843,math
1844,autre
1845,autre
1846,autre
1847,math
1848,autre
1849,math
1850,math
1851,ing_info
1852,math
1853,math
1854,ing_info
1855,math
1856,math
1857,autre
1858,autre
1859,math
1860,autre
1861,math
1862,autre
1863,phylo
1864,math
1865,ing_info
1866,math
1867,math
1868,math
1869,math
1870,autre
1871,math
1872,math
1873,math
1874,math
1875,math
1876,math
1877,autre
1878,autre
1879,math
1880,math
1881,math
1882,math
1883,math
1884,math
1885,ing_info
1886,ing_info
1887,math
1888,math
1889,math
1890,math
1891,math
1892,math
1893,autre
1894,math
1895,autre
1896,autre
1897,autre
1898,math
1899,math
1900,math
1901,math
1902,math
1903,math
1904,math
1905,math
1906,math
1907,sci_nat
1908,autre
1909,autre
1910,autre
1911,autre
1912,autre
1913,math
1914,autre
1915,autre
1916,math
1917,math
1918,math
1919,sci_nat
1920,math
1921,math
1922,math
1923,math
1924,math
1925,math
1926,math
1927,sci_hum
1928,phylo
1929,math
1930,autre
1931,math
1932,math
1933,math
1934,math
1935,sci_nat
1936,sci_nat
1937,math
1938,autre
1939,autre
1940,math
1941,math
1942,math
1943,math
1944,math
1945,autre
1946,autre
1947,math
1948,math
1949,math
1950,math
1951,sci_nat
1952,math
1953,math
1954,math
1955,ing_info
1956,ing_info
1957,autre
1958,math
1959,autre
1960,math
1961,math
1962,math
