"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Oleg_Lupanov","http://dbpedia.org/resource/Mathematical_Logic","Mathematical Logic",1932
"http://dbpedia.org/resource/Dionigi_Galletto","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Pierre_Cartier_(mathematician)","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Solomon_W._Golomb","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Solomon_W._Golomb","http://dbpedia.org/resource/Engineering","Engineering",1932
"http://dbpedia.org/resource/Dionigi_Galletto","http://dbpedia.org/resource/Mathematical_physics","Mathematical physics",1932
"http://dbpedia.org/resource/Nguyen_Dinh_Ngoc","http://dbpedia.org/resource/Topology","Topology",1932
"http://dbpedia.org/resource/Oleg_Lupanov","http://dbpedia.org/resource/Discrete_Mathematics","Discrete Mathematics",1932
"http://dbpedia.org/resource/Nguyen_Dinh_Ngoc","http://dbpedia.org/resource/Differential_Geometry","Differential Geometry",1932
"http://dbpedia.org/resource/Crispin_Nash-Williams","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Mizan_Rahman","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Andrzej_Ehrenfeucht","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Stanisław_Trybuła","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/C._S._Seshadri","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Stanisław_Trybuła","http://dbpedia.org/resource/Game_theory","Game theory",1932
"http://dbpedia.org/resource/Stanisław_Trybuła","http://dbpedia.org/resource/Statistics","Statistics",1932
"http://dbpedia.org/resource/Harold_Widom","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/J._H._van_Lint","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Richard_Askey","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Patricia_Hiddleston","http://dbpedia.org/resource/Mathematician","Mathematician",1933
"http://dbpedia.org/resource/Petr_Mandl","http://dbpedia.org/resource/Mathematician","Mathematician",1933
"http://dbpedia.org/resource/Ciprian_Foias","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Frederick_J._Almgren_Jr.","http://dbpedia.org/resource/Geometric_measure_theory","Geometric measure theory",1933
"http://dbpedia.org/resource/G._S._Maddala","http://dbpedia.org/resource/Econometrics","Econometrics",1933
"http://dbpedia.org/resource/Morris_Hirsch","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Stephen_Schanuel","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Annie_Easley","http://dbpedia.org/resource/Computer_engineering","Computer engineering",1933
"http://dbpedia.org/resource/William_Kahan","http://dbpedia.org/resource/Computer_Science","Computer Science",1933
"http://dbpedia.org/resource/William_Kahan","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Taylor_Booth_(mathematician)","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Chen_Jingrun","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Albert_A._Mullin","http://dbpedia.org/resource/Engineer","Engineer",1933
"http://dbpedia.org/resource/Taylor_Booth_(mathematician)","http://dbpedia.org/resource/Computer_engineering","Computer engineering",1933
"http://dbpedia.org/resource/Taylor_Booth_(mathematician)","http://dbpedia.org/resource/Computer_science","Computer science",1933
"http://dbpedia.org/resource/Gérard_Vergnaud","http://dbpedia.org/resource/Mathematician","Mathematician",1933
"http://dbpedia.org/resource/Albert_A._Mullin","http://dbpedia.org/resource/Mathematician","Mathematician",1933
"http://dbpedia.org/resource/Kedar_%22Bud%22_Pyatt","http://dbpedia.org/resource/Mathematician","Mathematician",1933
"http://dbpedia.org/resource/Gérard_Vergnaud","http://dbpedia.org/resource/Psychologist","Psychologist",1933
"http://dbpedia.org/resource/Gérard_Vergnaud","http://dbpedia.org/resource/Philosopher","Philosopher",1933
"http://dbpedia.org/resource/Donald_Sarason","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Marvin_Knopp","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Wolfgang_M._Schmidt","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Wolfgang_M._Schmidt","http://dbpedia.org/resource/Number_Theory","Number Theory",1933
"http://dbpedia.org/resource/Pierre_Gabriel","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Kanakanahalli_Ramachandra","http://dbpedia.org/resource/Analytic_Number_Theory","Analytic Number Theory",1933
"http://dbpedia.org/resource/Michel_Balinski","http://dbpedia.org/resource/Mathematics","Mathematics",1933
"http://dbpedia.org/resource/Michel_Balinski","http://dbpedia.org/resource/Economics","Economics",1933
"http://dbpedia.org/resource/Michel_Balinski","http://dbpedia.org/resource/Political_science","Political science",1933
"http://dbpedia.org/resource/Michel_Balinski","http://dbpedia.org/resource/Operations_research","Operations research",1933
"http://dbpedia.org/resource/Paul-André_Meyer","http://dbpedia.org/resource/Mathematics","Mathematics",1934
"http://dbpedia.org/resource/Paul_Cohen","http://dbpedia.org/resource/Mathematics","Mathematics",1934
